latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,Year,NAME,DATEEST,PROVINCE,zone
-13.66093,32.39407,335.38,0.39,0.36,2015-07-05,1123,N,VIIRS,n,2,302.59,2.05,D,0,2015,Banki,2020-02-14,Eastern,Core
-13.6604,32.39771,333.4,0.39,0.36,2015-07-05,1123,N,VIIRS,n,2,303.44,3.89,D,0,2015,Banki,2020-02-14,Eastern,Core
-13.66691,32.37276,334.9,0.4,0.37,2020-07-18,1118,N,VIIRS,n,2,300.51,4.58,D,0,2020,Banki,2020-02-14,Eastern,Core
-13.66084,32.39059,331.63,0.4,0.37,2020-07-18,1118,N,VIIRS,n,2,298.84,1.97,D,0,2020,Banki,2020-02-14,Eastern,Core
-13.66123,32.39536,342.73,0.48,0.4,2020-09-19,1138,N,VIIRS,n,2,309.5,2.56,D,0,2020,Banki,2020-02-14,Eastern,Core
-13.66901,32.37017,340.94,0.42,0.37,2021-10-03,1132,N,VIIRS,l,2,312.8,8.31,D,0,2021,Banki,2020-02-14,Eastern,Core
-13.6631,32.38865,331.52,0.61,0.53,2023-06-23,1158,N,VIIRS,n,2,297.26,2.62,D,0,2023,Banki,2020-02-14,Eastern,Core
-13.66638,32.39285,332.21,0.39,0.44,2014-07-06,1151,N,VIIRS,n,2,300.29,0.61,D,0,2014,Banki,2020-02-14,NA,Buffer
-13.66759,32.38422,340.2,0.55,0.51,2014-07-30,1101,N,VIIRS,n,2,297.73,6.48,D,0,2014,Banki,2020-02-14,NA,Buffer
-13.66601,32.36417,332.8,0.44,0.46,2015-07-06,1104,N,VIIRS,l,2,307.71,4.27,D,0,2015,Banki,2020-02-14,NA,Buffer
-13.66247,32.40509,334.9,0.39,0.36,2015-07-10,1129,N,VIIRS,l,2,306.19,1.54,D,0,2015,Banki,2020-02-14,NA,Buffer
-13.65909,32.38266,332.14,0.39,0.36,2015-07-10,1129,N,VIIRS,l,2,306.06,3.04,D,0,2015,Banki,2020-02-14,NA,Buffer
-13.68001,32.37438,338.35,0.53,0.42,2015-08-28,1110,N,VIIRS,n,2,307.98,5.06,D,0,2015,Banki,2020-02-14,NA,Buffer
-13.6645,32.37662,339.68,0.49,0.48,2016-08-01,1151,N,VIIRS,n,2,313.1,2.52,D,0,2016,Banki,2020-02-14,NA,Buffer
-13.65847,32.38834,338.04,0.56,0.52,2016-08-04,1054,N,VIIRS,n,2,312.2,2.7,D,0,2016,Banki,2020-02-14,NA,Buffer
-13.65285,32.40518,336.84,0.38,0.36,2016-08-13,1126,N,VIIRS,n,2,310.3,3.33,D,0,2016,Banki,2020-02-14,NA,Buffer
-13.66494,32.40911,340.02,0.48,0.4,2016-08-23,1138,N,VIIRS,n,2,306.6,3.78,D,0,2016,Banki,2020-02-14,NA,Buffer
-13.66875,32.3927,353.71,0.4,0.37,2016-08-24,1119,N,VIIRS,n,2,313.64,9.83,D,0,2016,Banki,2020-02-14,NA,Buffer
-13.66997,32.41155,341.71,0.41,0.37,2016-09-03,1132,N,VIIRS,l,2,314.44,3.36,D,0,2016,Banki,2020-02-14,NA,Buffer
-13.66939,32.41149,342.04,0.41,0.37,2016-09-03,1132,N,VIIRS,l,2,314.16,4.07,D,0,2016,Banki,2020-02-14,NA,Buffer
-13.65524,32.38634,332.27,0.45,0.39,2017-06-19,1112,N,VIIRS,n,2,303.03,3.45,D,0,2017,Banki,2020-02-14,NA,Buffer
-13.65725,32.40636,330.88,0.56,0.52,2017-06-20,1053,N,VIIRS,n,2,300.21,4.64,D,0,2017,Banki,2020-02-14,NA,Buffer
-13.67522,32.36035,332.66,0.59,0.7,2017-06-21,1034,N,VIIRS,n,2,299.75,3.74,D,0,2017,Banki,2020-02-14,NA,Buffer
-13.66033,32.37568,329.33,0.59,0.7,2017-06-21,1034,N,VIIRS,n,2,300.02,1.53,D,0,2017,Banki,2020-02-14,NA,Buffer
-13.65922,32.38669,332.81,0.4,0.37,2017-06-24,1118,N,VIIRS,l,2,306.2,2.35,D,0,2017,Banki,2020-02-14,NA,Buffer
-13.66388,32.36455,341.76,0.46,0.64,2017-06-26,1041,N,VIIRS,n,2,296.64,3.8,D,0,2017,Banki,2020-02-14,NA,Buffer
-13.65413,32.39497,336.77,0.41,0.37,2017-08-21,1131,N,VIIRS,n,2,309.9,2.48,D,0,2017,Banki,2020-02-14,NA,Buffer
-13.66966,32.38828,333.94,0.39,0.36,2017-11-04,1125,N,VIIRS,n,2,304.33,2.97,D,0,2017,Banki,2020-02-14,NA,Buffer
-13.66758,32.36625,331.7,0.39,0.59,2018-06-30,1202,N,VIIRS,n,2,297.72,4.81,D,0,2018,Banki,2020-02-14,NA,Buffer
